N,prob,se,qin_m3_s
357,0.6554621848739496,0.025151168122196126,3.1929516424366144e-06
358,0.6536312849162011,0.025147466097071164,1.992397643491728e-05
359,0.6518105849582173,0.02514324124308403,1.5020104526406622e-05
360,0.65,0.025138505214997258,1.5895228270350677e-05
361,0.6481994459833795,0.025133269395349715,1.6971713064953374e-05
362,0.649171270718232,0.025082622145230524,5.038453812951371e-06
363,0.6473829201101928,0.025077196234101127,2.0062593660674295e-05
364,0.6456043956043956,0.025071291755244477,1.540818811801897e-05
365,0.6465753424657534,0.025021397362566932,5.599183836741862e-06
366,0.6475409836065574,0.02497165924512568,5.502770821017436e-06
367,0.6485013623978202,0.024922077218349204,5.049496498560905e-06
368,0.6494565217391305,0.024872651085822504,5.418740707314943e-06
369,0.6504065040650406,0.02482338063966977,3.122431015496573e-06
370,0.6513513513513514,0.024774265660926494,3.1758781884133174e-06
371,0.6522911051212938,0.024725305919901356,5.34400892125525e-06
372,0.6532258064516129,0.024676501176528164,5.1052293715127495e-06
373,0.6541554959785523,0.024627851180708114,5.480557217360515e-06
374,0.6550802139037433,0.024579355672642654,3.1642026477604146e-06
375,0.656,0.024531014383157225,5.400506423219775e-06
376,0.6542553191489362,0.024527735956564486,1.912419104437602e-05
377,0.6551724137931034,0.024479814777867065,5.441488325947627e-06
378,0.656084656084656,0.024432044842210503,5.366082349229568e-06
379,0.6543535620052771,0.02442883033845936,1.570296375277298e-05
380,0.6552631578947369,0.02438147224736083,5.464754937137209e-06
381,0.6535433070866141,0.024378061910056883,1.7700796699529695e-05
382,0.6544502617801047,0.024331110191091562,3.030104430127099e-06
383,0.6527415143603134,0.024327510230668592,1.5843949595693274e-05
384,0.6510416666666666,0.024323471974240337,1.6502643507749046e-05
385,0.6519480519480519,0.024277175936513847,3.0686478132106358e-06
386,0.6528497409326425,0.024231020920758548,5.127733764617582e-06
387,0.6511627906976745,0.02422705956709189,1.9094223164007087e-05
388,0.6520618556701031,0.024181295065755382,5.246063327588487e-06
389,0.6529562982005142,0.02413566896318072,3.178575547797429e-06
390,0.6538461538461539,0.024090181048310393,5.398044237228088e-06
391,0.6547314578005116,0.0240448311021042,5.452677464139225e-06
392,0.6530612244897959,0.02404143221934496,1.7473678424788604e-05
393,0.6539440203562341,0.023996460648507467,3.0070807458091442e-06
394,0.6548223350253807,0.023951624499937624,5.465199890886303e-06
395,0.6556962025316456,0.023906923551860308,3.100484202571128e-06
396,0.6540404040404041,0.023903824232474665,1.6841794903973804e-05
397,0.6523929471032746,0.02390031721347505,2.0459206858912197e-05
398,0.6532663316582915,0.023856218787229197,5.467024289252115e-06
399,0.6541353383458647,0.023812251089247272,3.203737914796589e-06
400,0.655,0.023768413914268656,5.090745407246324e-06
401,0.6533665835411472,0.023765200729596116,1.4901947866986173e-05
402,0.654228855721393,0.023721721057032016,5.172612193894669e-06
403,0.6550868486352357,0.02367836955042995,5.271587915051953e-06
404,0.6534653465346535,0.02367521510838317,1.5029746521093885e-05
405,0.6518518518518519,0.023671674748638745,2.080491074213864e-05
406,0.6527093596059114,0.0236288966598413,3.0316916102809854e-06
407,0.6511056511056511,0.02362520008645753,1.3517426723112588e-05
408,0.6519607843137255,0.02358276622494664,3.1545005238895747e-06
409,0.6528117359413202,0.023540454351962326,4.838251435689162e-06
410,0.6536585365853659,0.023498264291605786,4.905258686725564e-06
411,0.6520681265206812,0.023494850338933445,1.8329663089094524e-05
